index,lseg_name,lseg_clean,compustat_name,compustat_clean,gvkey,score
2,Economic Investment Trust Ltd,ECONOMIC INVESTMENT TRUST,ECONOMIC INVESTMENT TR LTD,ECONOMIC INVESTMENT TR,20416,94
6,Electro Scientific Industries Inc,ELECTRO SCIENTIFIC INDUSTRIES,ELECTRO SCIENTIFIC INDS INC,ELECTRO SCIENTIFIC INDS,4274,88
9,Electronic Tele-Communications Inc,ELECTRONIC TELE COMMUNICATIONS,ELECTR TELE-COMMUNCTN,ELECTR TELE COMMUNCTN,4292,82
10,Ellsworth Growth and Income Fund Ltd,ELLSWORTH GROWTH AND INCOME FUND,ELLSWORTH GRWTH INCM FD LTD,ELLSWORTH GRWTH INCM FD,14666,84
14,Diamond Hill Investment Group Inc,DIAMOND HILL INVESTMENT,DIAMOND HILL INVESTMENT GRP,DIAMOND HILL INVESTMENT GRP,65235,92
22,Weatherford International PLC,WEATHERFORD,WEATHERFORD INTL PLC,WEATHERFORD INTL,4367,81
32,Valdor Technology International Inc,VALDOR TECHNOLOGY,VALDOR TECHNOLOGY INTL INC,VALDOR TECHNOLOGY INTL,23825,87
38,Western Asset Managed Municipals Fund Inc,WESTERN ASSET MANAGED MUNICIPALS FUND,WESTERN ASST MANAGED MUNI FD,WESTERN ASST MANAGED MUNI FD,25555,86
39,BlackRock MuniYield Quality Fund Inc,BLACKROCK MUNIYIELD QUALITY FUND,BLACKROCK MUNIYIELD QLTY FD,BLACKROCK MUNIYIELD QLTY FD,25567,92
42,Cornerstone Total Return Fund Inc,CORNERSTONE TOTAL RETURN FUND,CORNERSTONE TOTAL RETURN FD,CORNERSTONE TOTAL RETURN FD,14701,96
46,New West Energy Services Inc,NEW WEST ENERGY SERVICES,WESTERN ENERGY SERVICES CORP,WESTERN ENERGY SERVICES,105590,85
62,Fancamp Exploration Ltd,FANCAMP EXPLORATION,SLAM EXPLORATION LTD,SLAM EXPLORATION,130402,80
69,Federal Home Loan Mortgage Corp,FEDERAL HOME LOAN MORTGAGE,FEDERAL HOME LOAN MORTG CORP,FEDERAL HOME LOAN MORTG,15208,94
71,Federal National Mortgage Association,FEDERAL NATIONAL MORTGAGE ASSOCIATION,FEDERAL NATIONAL MORTGA ASSN,FEDERAL NATIONAL MORTGA ASSN,4601,86
72,Federal Realty Investment Trust,FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY INVESTMENT TR,FEDERAL REALTY INVESTMENT TR,4605,95
80,abrdn Asia-Pacific Income Fund Inc,ABRDN ASIA PACIFIC INCOME FUND,ABRDN ASIA PACIFIC INCOME FD,ABRDN ASIA PACIFIC INCOME FD,14667,97
82,First Bancorp (North Carolina),FIRST BANCORP NORTH CAROLINA,FIRST NORTHN CMNTY BANCORP,FIRST NORTHN CMNTY BANCORP,62365,81
83,Credit Suisse Asset Management Income Fund Inc,CREDIT SUISSE ASSET MANAGEMENT INCOME FUND,CREDIT SUISSE ASST INCOME FD,CREDIT SUISSE ASST INCOME FD,14703,80
86,First Citizens BancShares Inc (Delaware),FIRST CITIZENS BANCSHARES DELAWARE,FIRST CITIZENS BANCSHRS INC,FIRST CITIZENS BANCSHRS,110359,81
87,First BanCorp,FIRST BANCORP,FIRST BANCORP/NC,FIRST BANCORP/NC,16777,90
90,First Financial Bancorp,FIRST FINANCIAL BANCORP,UNITED FINANCIAL BANCORP INC,UNITED FINANCIAL BANCORP,162557,85
91,First of Long Island Corp,FIRST OF LONG ISLAND,FIRST LONG ISLAND CORP,FIRST LONG ISLAND,18307,92
99,Flanigan's Enterprises Inc,FLANIGAN S ENTERPRISES,FLANIGANS ENTERPRISES INC,FLANIGANS ENTERPRISES,4759,98
108,Forest Laboratories Inc,FOREST LABORATORIES,CORE LABORATORIES INC,CORE LABORATORIES,61759,89
110,FNX Mining Company Inc,FNX MINING,FORAN MINING CORP,FORAN MINING,106503,82
114,L B Foster Co,L B FOSTER,FOSTER (LB) CO,FOSTER LB,4860,84
121,ADM Tronics Unlimited Inc,ADM TRONICS UNLIMITED,ADM TRONICS UNLIMITED INC/DE,ADM TRONICS UNLIMITED /DE,21116,93
123,AGF Management Ltd,AGF MANAGEMENT,AGF MANAGEMENT LTD  -CL B,AGF MANAGEMENT CL B,61955,85
127,H.B. Fuller Company,H B FULLER,FULLER (H. B.) CO,FULLER H B,4926,100
134,Central and Eastern Europe Fund Inc,CENTRAL AND EASTERN EUROPE FUND,CENTRAL AND ESTRN EUR FD INC,CENTRAL AND ESTRN EUR FD,20912,87
136,G&K Services LLC,G K SERVICES,G&K SERVICES INC  -CL A,G K SERVICES CL A,4936,83
144,Abraxas Petroleum Corp,ABRAXAS PETROLEUM,ABRAXAS PETROLEUM CORP/NV,ABRAXAS PETROLEUM /NV,24005,92
157,Adams Diversified Equity Fund Inc,ADAMS DIVERSIFIED EQUITY FUND,ADAMS DIVERSIFIED EQUITY FD,ADAMS DIVERSIFIED EQUITY FD,1119,96
161,ADDvantage Technologies Group Inc,ADDVANTAGE TECHNOLOGIES,ADDVANTAGE TECHNOLOGIES GP,ADDVANTAGE TECHNOLOGIES GP,24428,94
169,Allied Resources Inc,ALLIED RESOURCES,ALGOLD RESOURCES LTD,ALGOLD RESOURCES,196766,88
170,Petrichor Energy Inc,PETRICHOR ENERGY,PETRO-VICTORY ENERGY CORP,PETRO VICTORY ENERGY,21222,83
174,General Electric Co,GENERAL ELECTRIC,GENERAL ELECTRIC CAP CORP,GENERAL ELECTRIC CAP,5048,89
180,Air Products and Chemicals Inc,AIR PRODUCTS AND CHEMICALS,AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS CHEMICALS,1209,92
196,Alcan Inc,ALCAN,ALCANNA INC,ALCANNA,165829,83
199,Gresham Worldwide Inc,GRESHAM WORLDWIDE,AGRITECH WORLDWIDE INC,AGRITECH WORLDWIDE,123434,80
210,Globex Mining Enterprise Inc,GLOBEX MINING ENTERPRISE,GLOBEX MINING ENTERPRISES,GLOBEX MINING ENTERPRISES,21859,98
211,ATI Inc,ATI,ATMI INC,ATMI,29274,86
217,Alliance HealthCare Services Inc,ALLIANCE HEALTHCARE SERVICES,ALLIANCE HEALTHCARE SVCS INC,ALLIANCE HEALTHCARE SVCS,13657,92
222,Greenfirst Forest Products Inc,GREENFIRST FOREST PRODUCTS,GREENFIRST FOREST PRDCTS INC,GREENFIRST FOREST PRDCTS,106897,96
243,Greystone Housing Impact Investors LP,GREYSTONE HOUSING IMPACT INVESTORS LP,GREYSTONE HSG IMPT INVTS LP,GREYSTONE HSG IMPT INVTS LP,16641,84
260,WW Grainger Inc,WW GRAINGER,GRAINGER (W W) INC,GRAINGER W W,5256,96
271,Skychain Technologies Inc,SKYCHAIN TECHNOLOGIES,CHANGING TECHNOLOGIES INC,CHANGING TECHNOLOGIES,19715,86
277,Transat AT Inc,TRANSAT AT,TRANSAT A T INC,TRANSAT A T,28059,95
281,Guardian Capital Group Ltd,GUARDIAN CAPITAL,GAIN CAPITAL HOLDINGS INC,GAIN CAPITAL,183528,86
284,American Science and Engineering Inc,AMERICAN SCIENCE AND ENGINEERING,AMERICAN SCIENCE ENGINEERING,AMERICAN SCIENCE ENGINEERING,1554,93
285,American Shared Hospital Services,AMERICAN SHARED HOSPITAL SERVICES,AMERICAN SHARED HSPTL SERV,AMERICAN SHARED HSPTL SERV,1559,88
287,Logility Supply Chain Solutions Inc,LOGILITY SUPPLY CHAIN SOLUTIONS,LOGILITY SPPLY CHAIN SOL INC,LOGILITY SPPLY CHAIN SOL,1562,87
290,Omega Healthcare Investors Inc,OMEGA HEALTHCARE INVESTORS,OMEGA HEALTHCARE INVS INC,OMEGA HEALTHCARE INVS,25633,89
305,Harman International Industries Inc,HARMAN INDUSTRIES,CHART INDUSTRIES INC,CHART INDUSTRIES,25964,85
311,Orrstown Financial Services Inc,ORRSTOWN FINANCIAL SERVICES,ORRSTOWN FINANCIAL SVCS INC,ORRSTOWN FINANCIAL SVCS,111819,92
317,Hawaiian Electric Industries Inc,HAWAIIAN ELECTRIC INDUSTRIES,HAWAIIAN ELECTRIC INDS,HAWAIIAN ELECTRIC INDS,5526,88
322,Health Management Associates LLC,HEALTH MANAGEMENT ASSOCIATES,HEALTH MANAGEMENT ASSOC,HEALTH MANAGEMENT ASSOC,12338,90
323,EQC Liquidating Trust,EQC LIQUIDATING TRUST,ALP LIQUIDATING TRUST,ALP LIQUIDATING TRUST,15457,86
332,Helmerich and Payne Inc,HELMERICH AND PAYNE,HELMERICH & PAYNE,HELMERICH PAYNE,5581,88
335,Jack Henry & Associates Inc,JACK HENRY ASSOCIATES,HENRY (JACK) & ASSOCIATES,HENRY JACK ASSOCIATES,11811,100
336,California First Leasing Corp,CALIFORNIA FIRST LEASING,CALIFORNIA FIRST LEASNG CORP,CALIFORNIA FIRST LEASNG,13289,98
354,CommScope Technologies LLC,COMMSCOPE TECHNOLOGIES,AUTOSCOPE TECHNOLOGIES CORP,AUTOSCOPE TECHNOLOGIES,31775,86
357,Hingham Institution For Savings,HINGHAM INSTITUTION FOR SAVINGS,HINGHAM INSTN FOR SAVINGS,HINGHAM INSTN FOR SAVINGS,16967,89
359,TOR Minerals International Inc,TOR MINERALS,TESORO MINERALS CORP,TESORO MINERALS,105634,89
363,Home Capital Group Inc,HOME CAPITAL,HOME CAPITAL GROUP INC -CL B,HOME CAPITAL CL B,20487,83
373,Starwood Hotels & Resorts Worldwide LLC,STARWOOD HOTELS RESORTS WORLDWIDE,STARWOOD HOTELS&RESORTS WRLD,STARWOOD HOTELS RESORTS WRLD,5723,92
375,Hovnanian Enterprises Inc,HOVNANIAN ENTERPRISES,FLANIGANS ENTERPRISES INC,FLANIGANS ENTERPRISES,4759,81
382,J B Hunt Transport Services Inc,J B HUNT TRANSPORT SERVICES,HUNT (JB) TRANSPRT SVCS INC,HUNT JB TRANSPRT SVCS,5783,83
385,VVC Exploration Corp,VVC EXPLORATION,REV EXPLORATION CORP,REV EXPLORATION,106610,87
386,Hurco Companies Inc,HURCO COMPANIES,EURO GROUP OF COMPANIES INC,EURO OF COMPANIES,30450,81
391,Armanino Foods Of Distinction Inc,ARMANINO FOODS OF DISTINCTION,ARMANINO FOODS DISTINCTION,ARMANINO FOODS DISTINCTION,21506,95
409,Astral Media Inc,ASTRAL MEDIA,ASTRAL MEDIA INC  -CL A,ASTRAL MEDIA CL A,15088,83
413,HYTN Innovations Inc,HYTN INNOVATIONS,H2O INNOVATION INC,H2O INNOVATION,143979,80
419,IDEXX Laboratories Inc,IDEXX LABORATORIES,IMPAX LABORATORIES INC,IMPAX LABORATORIES,61745,83
437,AV Homes Inc,AV HOMES,A V HOMES INC,A V HOMES,1906,82
441,Avino Silver & Gold Mines Ltd,AVINO SILVER GOLD MINES,AVINO SILVER & GOLD MINS LTD,AVINO SILVER GOLD MINS,13400,98
442,Independent Bank Corp (Michigan),INDEPENDENT BANK MICHIGAN,INDEPENDENT BANK CORP/MA,INDEPENDENT BANK /MA,16889,86
448,BJ Services Company LLC,BJ SERVICES,BOYD GROUP SERVICES INC,BOYD SERVICES,126474,83
450,Ingles Markets Inc,INGLES MARKETS,INGLES MARKETS INC  -CL A,INGLES MARKETS CL A,12972,85
461,Azuria Water Solutions Inc,AZURIA WATER SOLUTIONS,ARIS WATER SOLUTIN INC,ARIS WATER SOLUTIN,39726,85
468,Integrated Device Technology Inc,INTEGRATED DEVICE TECHNOLOGY,INTEGRATED DEVICE TECH INC,INTEGRATED DEVICE TECH,6003,88
483,International Business Machines Corp,BUSINESS MACHINES,INTL BUSINESS MACHINES CORP,INTL BUSINESS MACHINES,6066,87
490,Bank of South Carolina,BANK OF SOUTH CAROLINA,BANK SOUTH CAROLINA CORP,BANK SOUTH CAROLINA,17641,93
492,International Flavors & Fragrances Inc,FLAVORS FRAGRANCES,INTL FLAVORS & FRAGRANCES,INTL FLAVORS FRAGRANCES,6078,88
496,International Game Technology,GAME TECHNOLOGY,AMJ GLOBAL TECHNOLOGY,AMJ TECHNOLOGY,21876,90
500,International Paper Co,PAPER,PACER INTERNATIONAL INC,PACER,113140,80
501,Prism Resources Inc,PRISM RESOURCES,PRETIUM RESOURCES INC,PRETIUM RESOURCES,186130,88
503,Infineon Technologies Americas Corp,INFINEON TECHNOLOGIES AMERICAS,INFINEON TECHNOLOGIES AG,INFINEON TECHNOLOGIES AG,132740,85
506,Westbridge Renewable Energy Corp.,WESTBRIDGE RENEWABLE ENERGY,WESTBRIDGE RENWBLE ENRG CORP,WESTBRIDGE RENWBLE ENRG,39049,92
507,C R Bard Inc,C R BARD,BARD (C.R.) INC,BARD C R,2044,100
510,Barr Pharmaceuticals Inc,BARR PHARMACEUTICALS,ARS PHARMACEUTICALS INC,ARS PHARMACEUTICALS,37495,92
513,Interpublic Group of Companies Inc,INTERPUBLIC OF COMPANIES,INTERPUBLIC GROUP OF COS,INTERPUBLIC OF COS,6136,86
516,Bassett Furniture Industries Inc,BASSETT FURNITURE INDUSTRIES,BASSETT FURNITURE INDS,BASSETT FURNITURE INDS,2080,88
524,Applied Industrial Technologies Inc,APPLIED INDUSTRIAL TECHNOLOGIES,APPLIED INDUSTRIAL TECH INC,APPLIED INDUSTRIAL TECH,2101,85
526,Intrepid Capital Corp,INTREPID CAPITAL,PINETREE CAPITAL LTD,PINETREE CAPITAL,121154,81
527,Becker Milk Co Ltd,BECKER MILK,BECKER MILK CO LTD  -CL B,BECKER MILK CL B,15098,81
529,Becton Dickinson and Co,BECTON DICKINSON AND,BECTON DICKINSON & CO,BECTON DICKINSON,2111,89
531,Ironstone Properties Inc,IRONSTONE PROPERTIES,MILLROSE PROPERTIES INC,MILLROSE PROPERTIES,45779,82
541,Jean Coutu Group (PJC) Inc,JEAN COUTU PJC,JEAN COUTU GROUP,JEAN COUTU,16474,83
546,Johnson Controls Inc,JOHNSON CONTROLS,JOHNSON CONTROLS INTL PLC,JOHNSON CONTROLS INTL,6268,86
547,W R Berkley Corp,W R BERKLEY,BERKLEY (W R) CORP,BERKLEY W R,14822,100
550,Berry Petroleum Company LLC,BERRY PETROLEUM,BANKERS PETROLEUM LTD,BANKERS PETROLEUM,20440,81
554,Johnson Outdoors Inc,JOHNSON OUTDOORS,JOHNSON OUTDOORS INC  -CL A,JOHNSON OUTDOORS CL A,13906,86
557,Jemtec Inc,JEMTEC,EMTEC INC,EMTEC,23535,91
560,Kinder Morgan Kansas Inc,KINDER MORGAN KANSAS,KINDER MORGAN CANADA LIMITED,KINDER MORGAN CANADA,31553,85
