Company Common Name,Instrument,Issuer Ticker
Ecolab Inc,ECL.N,ECL
Ecology and Environment Inc,EEI.OQ^A20,WSPXEC
Economic Investment Trust Ltd,EVT.TO,EVT
Educational Development Corp,EDUC.OQ,EDUC
Constellation Brands Inc,STZ.N,STZ
Electro Rent Corp,ELRC.O^H16,PLAEQR
Electro Scientific Industries Inc,ESIO.OQ^B19,MKSIL
Electro-Sensors Inc,ELSE.OQ,ELSE
Electronic Arts Inc,EA.OQ,EA
Electronic Tele-Communications Inc,ETCIA.PK,ETCIA
Ellsworth Growth and Income Fund Ltd,ECF.A,ECFX
Elmira Savings Bank,ESBK.OQ^E22,CBUXE
Anglogold Ashanti PLC,AU.N,AU
Harford Bank,HFBK.PK,
Diamond Hill Investment Group Inc,DHIL.OQ,DHIL
CPI Aerostructures Inc,CVU.A,CVU
Emerson Electric Co,EMR.N,EMR
Empire District Electric Co,EDE.N^A17,AQNEM
Empire Company Ltd,EMPa.TO,EMP
XXL Energy Corp,XL.V,
Energen Corp,EGN.N^K18,FANGG
Enerplus Corp,ERF.TO^F24,CHRDE
Weatherford International PLC,WFRD.OQ,WFRD
Ennis Inc,EBF.N,EBF
EOG Resources Inc,EOG.N,EOG
Genasys Inc,GNSS.OQ,GNSS
Enzon Pharmaceuticals Inc,ENZN.PK,ENZN
Environmental Tectonics Corp,ETCC.PK,ETCC
Enzo Biochem Inc,ENZB.PK^H25,ENZ
OraSure Technologies Inc,OSUR.OQ,OSUR
Equifax Inc,EFX.N,EFX
EQT Corp,EQT.N,EQT
Valdor Technology International Inc,VTI.CD,
Escalade Inc,ESCA.OQ,ESCA
Espey MFG & Electronics Corp,ESP.A,ESP
Miivo Holdings Corp,MIVO.V,
Esterline Technologies Corp,ESL.N^C19,TDGET
NewMarket Corp,NEU.N,NEU
Western Asset Managed Municipals Fund Inc,MMU.N,
BlackRock MuniYield Quality Fund Inc,MQY.N,MQY
Exar Corp,EXAR.N^E17,MXLEX
Excellon Resources Inc,EXN.V,EXN
Cornerstone Total Return Fund Inc,CRF.A,CRF
Exco Technologies Ltd,XTC.TO,
Expeditors International of Washington Inc,EXPD.N,EXPD
DMC Global Inc,BOOM.OQ,BOOM
New West Energy Services Inc,NWE.V^L20,
Exxon Mobil Corp,XOM.N,XOM
EZCORP Inc,EZPW.OQ,EZPW
FMC Corp,FMC.N,FMC
Nextera Energy Inc,NEE.N,NEE
Archer-Daniels-Midland Co,ADM.N,ADM
Verizon Communications Inc,VZ.N,VZ
Morefield Group NV,MORE.AS,
FRP Holdings Inc,FRPH.OQ,FRPH
FTI Foodtech International Inc,FTI.V,
Oppenheimer Holdings Inc,OPY.N,OPY
Exponent Inc,EXPO.OQ,EXPO
Fair Isaac Corp,FICO.N,FICOX
Fairfax Financial Holdings Ltd,FFH.TO,FFH
Almaden Minerals Ltd,AMM.V,AMM
Hello Pal International Inc,HP.CD,
Fancamp Exploration Ltd,FNC.V,
Family Dollar Stores LLC,FDO.N^G15,DLTRFY
EACO Corp,EACO.PK,EACO
Farmer Bros Co,FARM.OQ,FARMX
Farmers Capital Bank Corp,FFKT.OQ^H18,WSBFR
Fastenal Co,FAST.OQ,FAST
FedEx Corp,FDX.N,FDX
Federal Home Loan Mortgage Corp,FMCC.PK,FMCC
Russel Metals Inc,RUS.TO,RUS
Federal National Mortgage Association,FNMA.PK,FNMA
Federal Realty Investment Trust,FRT.N,FRT
Federal Signal Corp,FSS.N,FSS
Vibrantz Corp,FOE.N^D22,VIBZNV
Norte Grande SA,NORTEGRAN.SN,NORTE
Fifth Third Bancorp,FITB.OQ,FITB
Finning International Inc,FTT.TO,FTT
Regions Financial Corp,RF.N,RF
CoreLogic Inc,CLGX.N^F21,CESTNR
abrdn Asia-Pacific Income Fund Inc,FAX.A,FAX
FirstMerit Corp,FMER.O^H16,HBAFN
First Bancorp (North Carolina),FBNC.OQ,FBNC
Credit Suisse Asset Management Income Fund Inc,CIK.A,CIK
First Calgary Petroleums Ltd,FCP.TO^K08,ENIFI
Firstcash Holdings Inc,FCFS.OQ,FCFS
First Citizens BancShares Inc (Delaware),FCNCA.OQ,FCNCA
First BanCorp,FBP.N,FBP
M&T Bank Corp,MTB.N,MTBX
Pinnacle Bancshares Inc,PCLB.PK,PCLB
First Financial Bancorp,FFBC.OQ,FFBC
First of Long Island Corp,FLIC.OQ^F25,CNOBF
First Merchants Corp,FRME.OQ,FRME
First Midwest Bancorp Inc,FMBI.OQ^B22,ONBFI
US Bancorp,USB.N,USB
Amerigo Resources Ltd,ARG.TO,ARG
1st Source Corp,SRCE.OQ,SRCE
First Horizon Corp,FHN.N,FHN
Fiserv Inc,FISV.OQ,FISV
Flanigan's Enterprises Inc,BDL.A,BDL
PolyMet Mining Corp,POM.TO^K23,
Flexsteel Industries Inc,FLXS.OQ,FLXS
Community West Bancshares,CWBC.OQ,CWBC
Flowers Foods Inc,FLO.N,FLO
Fluor Corp,FLR.N,FLR
Fonar Corp,FONR.OQ,FONR
Ford Motor Co,F.N,F
Forest City Enterprises Inc,FCEa^A16,ATAOLI
Forest Laboratories Inc,FRX.N^G14,AGNSAF
Sabine Oil & Gas Corp,SOGCQ.PK^H16,OSGASE
FNX Mining Company Inc,FNX.TO^E10,KGHFTI
Fortis Inc,FTS.TO,FTS
CorVel Corp,CRVL.OQ,CRVL
Lundin Gold Inc,LUG.TO,LUG
L B Foster Co,FSTR.OQ,FSTR
Franklin Electric Co Inc,FELE.OQ,FELE
Franklin Resources Inc,BEN.N,BEN
AAR Corp,AIR.N,AIRX
CommScope Connectivity LLC,ADCT.OQ^L10,VISNCM
Franklin Wireless Corp,FKWL.OQ,FKWL
Franklin Universal Trust,FT.N,FT
ADM Tronics Unlimited Inc,ADMT.PK,ADMT
AEP Industries Inc,AEPI.OQ^A17,AMCOAD
AGF Management Ltd,AGFb.TO,AGFX
AES Corp,AES.N,AES
Frequency Electronics Inc,FEIM.OQ,FEIM
Friedman Industries Inc,FRD.OQ,FRD
H.B. Fuller Company,FUL.N,FUL
Fulton Financial Corp,FULT.OQ,FULT
White Mountains Insurance Group Ltd,WTM.N,WTM
Clearfield Inc,CLFD.OQ,CLFD
CECO Environmental Corp,CECO.OQ,CECE
ASA Gold and Precious Metals Ltd,ASA.N,
Vaso Corp,VASO.PK,VASO
Central and Eastern Europe Fund Inc,CEE.N,
PROG Holdings Inc,PRG.N,PRG
G&K Services LLC,GK.OQ^C17,CTASG
Hartford Insurance Group Inc,HIG.N,HIG
GATX Corp,GATX.N,GATX
Abbott Laboratories,ABT.N,ABT
Abcourt Mines Inc,ABI.V,
Dominion Diamond Corp,DDC.TO^K17,WASGTO
ABIOMED Inc,ABMD.OQ^L22,JNJAB
Just Energy Group Inc,JEh.V^L22,JTEGG
Abraxas Petroleum Corp,AXOA.MU^H23,AXAS
Goldgroup Mining Inc,GGA.V,
Tri Harbor Holdings Corp,ACETQ.PK^J19,ACET
G-III Apparel Group Ltd,GIII.OQ,GIII
Morguard Corp,MRC.TO,MRC
ACMAT Corp,ACMTA.PK,ACMTA
