Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Ecolab Inc,ECL.N,ECL,4213.0,ECOLAB INC
Ecology and Environment Inc,EEI.OQ^A20,WSPXEC,13128.0,ECOLOGY AND ENVIRONMENT INC
Economic Investment Trust Ltd,EVT.TO,EVT,20416.0,ECONOMIC INVESTMENT TR LTD
Educational Development Corp,EDUC.OQ,EDUC,4225.0,EDUCATIONAL DEVELOPMENT CORP
Constellation Brands Inc,STZ.N,STZ,2710.0,CONSTELLATION BRANDS
Electro Rent Corp,ELRC.O^H16,PLAEQR,4273.0,ELECTRO RENT CORP
Electro Scientific Industries Inc,ESIO.OQ^B19,MKSIL,4274.0,ELECTRO SCIENTIFIC INDS INC
Electro-Sensors Inc,ELSE.OQ,ELSE,4275.0,ELECTRO-SENSORS INC
Electronic Arts Inc,EA.OQ,EA,16721.0,ELECTRONIC ARTS INC
Electronic Tele-Communications Inc,ETCIA.PK,ETCIA,4292.0,ELECTR TELE-COMMUNCTN
Ellsworth Growth and Income Fund Ltd,ECF.A,ECFX,14666.0,ELLSWORTH GRWTH INCM FD LTD
Elmira Savings Bank,ESBK.OQ^E22,CBUXE,,
Anglogold Ashanti PLC,AU.N,AU,19824.0,ANGLOGOLD ASHANTI PLC
Harford Bank,HFBK.PK,,,
Diamond Hill Investment Group Inc,DHIL.OQ,DHIL,65235.0,DIAMOND HILL INVESTMENT GRP
CPI Aerostructures Inc,CVU.A,CVU,25726.0,CPI AEROSTRUCTURES INC
Emerson Electric Co,EMR.N,EMR,4321.0,EMERSON ELECTRIC CO
Empire District Electric Co,EDE.N^A17,AQNEM,4331.0,EMPIRE DISTRICT ELECTRIC CO
Empire Company Ltd,EMPa.TO,EMP,,
XXL Energy Corp,XL.V,,105996.0,XXL ENERGY CORP
Energen Corp,EGN.N^K18,FANGG,4351.0,ENERGEN CORP
Enerplus Corp,ERF.TO^F24,CHRDE,20214.0,ENERPLUS CORP
Weatherford International PLC,WFRD.OQ,WFRD,4367.0,WEATHERFORD INTL PLC
Ennis Inc,EBF.N,EBF,4390.0,ENNIS INC
EOG Resources Inc,EOG.N,EOG,16478.0,EOG RESOURCES INC
Genasys Inc,GNSS.OQ,GNSS,22373.0,GENASYS INC
Enzon Pharmaceuticals Inc,ENZN.PK,ENZN,4409.0,ENZON PHARMACEUTICALS INC
Environmental Tectonics Corp,ETCC.PK,ETCC,4415.0,ENVIRONMENTAL TECTONICS CORP
Enzo Biochem Inc,ENZB.PK^H25,ENZ,4418.0,ENZO BIOCHEM INC
OraSure Technologies Inc,OSUR.OQ,OSUR,12915.0,ORASURE TECHNOLOGIES INC
Equifax Inc,EFX.N,EFX,4423.0,EQUIFAX INC
EQT Corp,EQT.N,EQT,4430.0,EQT CORP
Valdor Technology International Inc,VTI.CD,,23825.0,VALDOR TECHNOLOGY INTL INC
Escalade Inc,ESCA.OQ,ESCA,4448.0,ESCALADE INC
Espey MFG & Electronics Corp,ESP.A,ESP,4450.0,ESPEY MFG & ELECTRONICS CORP
Miivo Holdings Corp,MIVO.V,,,
Esterline Technologies Corp,ESL.N^C19,TDGET,4460.0,ESTERLINE TECHNOLOGIES CORP
NewMarket Corp,NEU.N,NEU,4462.0,NEWMARKET CORP
Western Asset Managed Municipals Fund Inc,MMU.N,,25555.0,WESTERN ASST MANAGED MUNI FD
BlackRock MuniYield Quality Fund Inc,MQY.N,MQY,25567.0,BLACKROCK MUNIYIELD QLTY FD
Exar Corp,EXAR.N^E17,MXLEX,4476.0,EXAR CORP
Excellon Resources Inc,EXN.V,EXN,106351.0,EXCELLON RESOURCES INC
Cornerstone Total Return Fund Inc,CRF.A,CRF,14701.0,CORNERSTONE TOTAL RETURN FD
Exco Technologies Ltd,XTC.TO,,20392.0,EXCO TECHNOLOGIES LTD
Expeditors International of Washington Inc,EXPD.N,EXPD,,
DMC Global Inc,BOOM.OQ,BOOM,4497.0,DMC GLOBAL INC
New West Energy Services Inc,NWE.V^L20,,105590.0,WESTERN ENERGY SERVICES CORP
Exxon Mobil Corp,XOM.N,XOM,4503.0,EXXON MOBIL CORP
EZCORP Inc,EZPW.OQ,EZPW,,
FMC Corp,FMC.N,FMC,4510.0,FMC CORP
Nextera Energy Inc,NEE.N,NEE,4517.0,NEXTERA ENERGY INC
Archer-Daniels-Midland Co,ADM.N,ADM,1722.0,ARCHER-DANIELS-MIDLAND CO
