Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Elmira Savings Bank,ESBK.OQ^E22,CBUXE,,
Harford Bank,HFBK.PK,,,
Empire Company Ltd,EMPa.TO,EMP,,
Miivo Holdings Corp,MIVO.V,,,
Expeditors International of Washington Inc,EXPD.N,EXPD,,
EZCORP Inc,EZPW.OQ,EZPW,,
Morefield Group NV,MORE.AS,,,
FTI Foodtech International Inc,FTI.V,,,
Hello Pal International Inc,HP.CD,,,
Vibrantz Corp,FOE.N^D22,VIBZNV,,
Norte Grande SA,NORTEGRAN.SN,NORTE,,
First Calgary Petroleums Ltd,FCP.TO^K08,ENIFI,,
Forest City Enterprises Inc,FCEa^A16,ATAOLI,,
CommScope Connectivity LLC,ADCT.OQ^L10,VISNCM,,
White Mountains Insurance Group Ltd,WTM.N,WTM,,
Abcourt Mines Inc,ABI.V,,,
Tri Harbor Holdings Corp,ACETQ.PK^J19,ACET,,
ACMAT Corp,ACMTA.PK,ACMTA,,
ALUF Holdings Inc,AHIX.PK,AHIX,,
Moistureshield Inc,AERT.PK^E17,CRHMOI,,
Peraton Enterprise Solutions LLC,EDS.N^H08,PRSPU,,
Akorn Inc,AKRXQ.PK^J20,AKN,,
Albany International Corp,AIN.N,AIN,,
Georgia-Pacific LLC,GP.N^L05,KOCHGE,,
Baffinland Iron Mines Corp,BIM.TO^D11,BIRMS,,
Northrop Grumman Innovation Systems LLC,OA.N^F18,NOCNOR,,
Allied Waste Industries LLC,AW.N^L08,RSGAL,,
Invesco Municipal Income Opportunities Trust,OIA.N,,,
Kirkland Lake Gold Inc (Pre-Merger),KLG.TO^L16,KLDKG,,
Sociedad Matriz del Banco de Chile SA en liquidacion,CHI_pb.SN^F19,QUINES,,
Golden West Financial Corp (Oakland),GDW.N^J06,GDWCL,,
Western Pacific Trust Co,WP.V,WPX,,
Bankers Petroleum Ltd (Pre-Merger),BNK.TO^J16,,,
Orygen Peru SAA,ORYGENC1.LM,ENGEP,,
Goodheart-Willcox Company Inc,GWOX.PK,,,
Luz del Sur SAA,LUSURC1.LM,LUSUR,,
QHSLab Inc,USAQ.PK,QHSLB,,
Hearthstone Utilities Inc,EGAS.A^H17,GPBSNH,,
Wyeth LLC,WYE.N^J09,PFEWY,,
Principal Solar Inc,PSWW.PK,PSWW,,
Greif Inc,GEF.N,GEF,,
Schneider Electric IT Corp,APCC.OQ^B07,SCHNEI,,
Limitless Venture Group Inc,LVGI.PK,,,
Hammond Manufacturing Company Ltd,HMMa.TO,,,
Komatsu Mining Corp,JOY.N^D17,KOMSUO,,
Tekumo Inc,TKMO.PK,TKMO,,
Inversiones Centenario SAA,INVCENC1.LM,INVCX,,
Haverty Furniture Companies Inc,HVT.N,HVT,,
Kraft Heinz Foods Co,HNZ.N^F13,KHCIZ,,
Hercules LLC,HPC.N^K08,ASHHE,,
Amsouth BanCorp,ASO.N^K06,RFAMS,,
Homasote Co,HMTC.PK,HMTC,,
AT Topco Inc,ANN.N^H15,MAHBRA,,
Art's Way Manufacturing Co Inc,ARTW.OQ,ARTWX,,
Bonavista Energy Corp (Pre-Merger),BNP.TO^H20,BONVI,,
VJGJ Inc,TLGTQ.PK^G22,VJGJ,,
Aurizon Mines Ltd (Pre-Merger),ARZ.TO^F13,HLAUR,,
Independent Bank Corp (Massachusetts),INDB.OQ,INDB,,
Repsol Oil & Gas Canada Inc (PRE-MERGER 1),TLM.TO^E15,REPRSG,,
Balchem Corp,BCPC.OQ,BCPC,,
HAL Trust,HLAN.AS,HLANY,,
RENN Fund Inc,RCG.A,RCGX,,
Broad Street Realty Inc,BRST.PK,BRST,,
Global Crossing Airlines Group Inc,JET.NLB,,,
Rail Ferry Investment Holdings Inc,ISHCQ.PK^G17,ARNDPR,,
Bear Stearns Companies LLC,BSC.N^F08,JPMBS,,
Lake Shore Gold Corp (Pre-Merger),LSG.TO^D16,PAASL,,
Anixter International Inc,AXE.N^F20,AXE,,
Amcor Flexibles North America Inc,BMS.N^F19,AMCORO,,
JLM Couture Inc,JLMCQ.PK,JLMC,,
Ocean Wilsons Holdings Ltd,OCN.L^L25,HANXO,,
Kansas City Southern (Pre-Merger),KSU.N^L21,CPKSC,,
Black & Decker Corp,BDK.N^C10,SWKBLA,,
Kenilworth Systems Corp,GAMG.PK,GBASMK,,
Kimball International Inc,KBAL.OQ^F23,HNILN,,
