gvkey,year,total_assets,market_cap
4213.0,2009,5020900000,
4213.0,2010,4872200000,11704246347.06
4213.0,2011,,17366005431.69
4213.0,2011,18184700000,
4213.0,2012,17572300000,21060104756.8
4213.0,2013,19636500000,31416472901.77
4213.0,2014,19427400000,31368173235.36
4213.0,2015,18641700000,33776815359.42
4213.0,2016,,34175724385.02
4213.0,2016,18330200000,
4213.0,2017,,38766521444.9
4213.0,2017,19963500000,
4213.0,2018,20074500000,42565444212.2
4213.0,2019,20869100000,55628282703.21
4213.0,2020,18126000000,61758919793.88
4213.0,2021,21206400000,67225824549.13
4213.0,2022,,41459572413.6
4213.0,2022,21464300000,
4213.0,2023,,56557483297.0
13128.0,2010,79958932,
13128.0,2010,,63493785.0
13128.0,2011,94267642,
13128.0,2011,,68530180.64
13128.0,2012,97512155,
13128.0,2012,,47192357.04
13128.0,2013,81681684,
13128.0,2013,,47197700.0
13128.0,2014,71708322,
13128.0,2014,,39161832.8090999
13128.0,2015,68489337,
13128.0,2015,,43899098.76
13128.0,2016,59512000,
13128.0,2016,,45302776.1
13128.0,2017,57917000,
13128.0,2017,,45166842.0
13128.0,2018,,48910950.9
13128.0,2019,51810000,
13128.0,2019,,66898515.4499999
20416.0,2009,510716000,
20416.0,2010,544766000,373433077.5
20416.0,2011,,295208674.949999
20416.0,2011,435502000,
20416.0,2012,495943000,322837107.149999
20416.0,2013,754137000,529264173.749999
20416.0,2014,744819000,503994266.25
20416.0,2015,812219000,555994120.349999
20416.0,2016,,595246709.999999
20416.0,2016,846924000,
20416.0,2017,,642697980.749999
20416.0,2017,933126000,
20416.0,2018,872016000,564922820.999999
20416.0,2019,984195000,612093314.999999
20416.0,2020,991854000,609140794.35
20416.0,2021,1194545000,709413744.999999
20416.0,2022,,710401640.0
20416.0,2022,1099261000,
20416.0,2023,,740023493.999999
4225.0,2010,19360400,
4225.0,2010,,26662118.0
4225.0,2011,18705000,
4225.0,2011,,19521074.22
4225.0,2012,18011400,
4225.0,2012,,15024121.59
4225.0,2013,17900800,
4225.0,2013,,12188166.0984
4225.0,2014,16758300,
4225.0,2014,,19436783.223
4225.0,2015,18013200,
4225.0,2015,,44915019.48
4225.0,2016,49695000,
4225.0,2016,,40618715.8499999
4225.0,2017,65980300,
4225.0,2017,,77499682.35
4225.0,2018,61837900,
4225.0,2018,,69908450.94
4225.0,2019,69266300,
4225.0,2019,,52328402.22
4225.0,2020,64702800,
4225.0,2020,,128347729.92
4225.0,2021,88850500,
4225.0,2021,,78338030.8
4225.0,2022,109933700,
4225.0,2022,,27534864.5689
4225.0,2023,99936800,
4225.0,2023,,9942462.08
2710.0,2010,8094300000,
2710.0,2010,,4639021908.88999
2710.0,2011,7167600000,
2710.0,2011,,4186304269.29
2710.0,2012,7109900000,
2710.0,2012,,6492681990.02
2710.0,2013,7638100000,
2710.0,2013,,13367178827.64
2710.0,2014,14302100000,
2710.0,2014,,19024341763.79
2710.0,2015,15093000000,
2710.0,2015,,28420418052.4479
2710.0,2016,16965000000,
2710.0,2016,,30824637136.17
2710.0,2017,18602400000,
2710.0,2017,,44685325278.89
2710.0,2018,20538700000,
2710.0,2018,,30625973242.76
2710.0,2019,29231500000,
2710.0,2019,,36342548184.186
2710.0,2020,27323200000,
2710.0,2020,,42482221375.29
2710.0,2021,27104800000,
2710.0,2021,,47602677254.04
2710.0,2022,25855800000,
2710.0,2022,,42769672002.0
2710.0,2023,24662300000,
2710.0,2023,,44406071643.5
4273.0,2010,276068000,
4273.0,2010,,387470824.8
4273.0,2011,305927000,
4273.0,2011,,411266964.15
4273.0,2012,329831000,
4273.0,2012,,369052727.88
4273.0,2013,318926000,
4273.0,2013,,444411346.36
4273.0,2014,302058000,
4273.0,2014,,337081909.32
4273.0,2015,300314000,
4273.0,2015,,221975235.6
4273.0,2016,284577000,
4273.0,2016,,375110230.0
4274.0,2010,394418000,
4274.0,2010,,450052300.81
4274.0,2011,440167000,
4274.0,2011,,417174664.4
4274.0,2012,433210000,
4274.0,2012,,292483414.099999
4274.0,2013,322208000,
4274.0,2013,,314793700.0
4274.0,2014,270209000,
4274.0,2014,,237502560.0
4274.0,2015,221240000,
4274.0,2015,,161063652.21
4274.0,2016,220100000,
4274.0,2016,,192187572.64
4274.0,2017,224745000,
4274.0,2017,,717727859.62
4274.0,2018,372988000,
4274.0,2018,,1028068921.32
4274.0,2019,,1032326606.39
4275.0,2009,11034000,
4275.0,2010,11553000,15117535.53
4275.0,2011,,13305784.5135
4275.0,2011,11928000,
4275.0,2012,13338000,12787508.24
4275.0,2013,12609000,13612775.0699999
4275.0,2014,13764000,13279882.631
4275.0,2015,13421000,12155965.18
4275.0,2016,,11748502.66
4275.0,2016,13058000,
4275.0,2017,,13751860.0499999
4275.0,2017,13415000,
4275.0,2018,13275000,11544771.4
4275.0,2019,13475000,12325741.23
4275.0,2020,13319000,16332456.0099999
4275.0,2021,13891000,21338812.1723999
4275.0,2022,,15381654.9199999
4275.0,2022,14044000,
4275.0,2023,,13026479.7999999
16721.0,2010,4646000000,
16721.0,2010,,5435453647.25999
16721.0,2011,4928000000,
16721.0,2011,,6827364579.0
16721.0,2012,5491000000,
16721.0,2012,,4430565470.76
16721.0,2013,5070000000,
16721.0,2013,,7091270884.08
16721.0,2014,5716000000,
16721.0,2014,,14618672495.25
16721.0,2015,6147000000,
16721.0,2015,,21358714902.2399
16721.0,2016,7050000000,
16721.0,2016,,23766263888.84
16721.0,2017,7718000000,
16721.0,2017,,32350648092.18
16721.0,2018,8584000000,
16721.0,2018,,23840975401.36
16721.0,2019,8957000000,
16721.0,2019,,31390652936.63
16721.0,2020,11112000000,
16721.0,2020,,41655126271.6
16721.0,2021,13288000000,
16721.0,2021,,37302394061.7
16721.0,2022,13800000000,
16721.0,2022,,33731482990.12
16721.0,2023,13459000000,
16721.0,2023,,36797299614.07
4292.0,2009,533655,
4292.0,2010,487542,225823.23
4292.0,2011,,213277.495
4292.0,2011,534751,
4292.0,2012,704447,451646.46
4292.0,2013,551948,238368.965
4292.0,2014,372235,138003.085
4292.0,2015,267546,50182.94
4292.0,2016,,276006.17
4292.0,2016,308364,
4292.0,2017,,301097.64
4292.0,2017,262086,
4292.0,2018,233695,138003.085
4292.0,2019,223156,97856.733
4292.0,2020,176602,66241.4808
4292.0,2021,170600,10036.588
4292.0,2022,,50182.94
4292.0,2022,170126,
4292.0,2023,,57961.2957
14666.0,2010,107656985,
14666.0,2010,,98192722.8185
14666.0,2011,101647926,
14666.0,2011,,88500066.6
14666.0,2012,115279182,
14666.0,2012,,96059967.78
14666.0,2013,129991515,
14666.0,2013,,109885213.619999
14666.0,2014,135600047,
14666.0,2014,,116053059.07
14666.0,2015,120999530,
14666.0,2015,,101177474.5
14666.0,2016,128286327,
14666.0,2016,,108426828.74
14666.0,2017,161947536,
14666.0,2017,,121167846.18
14666.0,2018,173829037,
14666.0,2018,,111110670.74
14666.0,2019,178958488,
14666.0,2019,,153152443.92
14666.0,2020,203960425,
14666.0,2020,,183154140.59
14666.0,2021,229345661,
14666.0,2021,,166853300.88
14666.0,2022,182265750,
14666.0,2022,,111017871.72
14666.0,2023,166415091,
14666.0,2023,,111336275.36
19824.0,2009,9847090663.05819,
19824.0,2010,9489961360.70914,18861039705.9019
19824.0,2011,,16258828443.6453
19824.0,2011,10749000000.0,
