gvkey,sich
100644,5070
100712,1311
100873,7389
104432,4400
105132,7372
105239,1311
105365,6798
105394,7389
105538,6022
105576,4955
105616,6022
105632,4911
105670,6035
105861,1040
105892,1040
105936,2300
105999,4931
106003,1400
106112,1000
106203,1040
106233,3080
106261,2834
106464,1000
106486,1000
106519,1382
107098,1040
107150,1000
107245,1040
107325,6022
107637,1040
107644,6035
107710,1040
107712,1400
107781,1000
107817,6029
107843,2834
108250,1000
108265,1040
108297,1000
108326,1040
108348,7373
108391,1311
108425,1400
108645,1311
108740,4813
108768,1040
108831,3510
108979,6035
109079,7011
109599,6022
109621,6022
109683,6021
109699,6021
109826,7372
109919,8111
109926,6798
110039,3674
110065,6331
110179,6798
110250,6022
110359,6022
110382,6798
110566,2800
110685,3663
110732,4953
110760,3674
110804,7359
110979,6022
111000,8742
111103,5531
111179,6021
111486,2300
111534,6199
111537,6022
111629,4813
111721,6022
111779,6021
111819,6022
111864,7371
111873,5712
111880,7371
111941,3310
111974,4832
112111,7389
112112,6022
112158,3672
112168,4953
112410,6036
112721,6022
112759,1400
112819,4955
112876,4922
112881,2834
112968,2833
113093,6035
113140,4731
113419,7373
113490,6798
113978,6021
114370,3674
114484,4812
114524,7389
114608,5812
114628,6211
114880,6022
115044,4911
115404,7389
115567,4911
115757,3480
115766,6331
115876,6022
115960,6021
116029,4610
116166,7374
116304,4911
116504,2510
116675,6022
116772,6199
117018,6021
117026,6036
117034,6035
117036,7990
117141,6022
117145,4832
117260,6798
117768,3674
117829,2834
117861,3714
117903,6282
118042,6022
118223,7372
118264,6211
118267,7361
118502,8742
118525,6022
118577,2836
118795,1311
119217,3559
119275,3823
119314,4700
119316,2400
119394,7370
119414,6035
119574,3576
119714,6141
119756,6321
120048,7361
120093,1311
120297,8062
120301,4832
120334,3663
120359,4813
120774,3576
120824,3272
120877,2111
121077,3576
121381,6021
121382,6798
121440,2834
121493,7372
121713,6021
121718,3576
121759,3669
121815,6153
121816,6022
121817,4832
122015,6036
122078,7389
122172,4822
122175,6794
122194,1311
122211,2510
122257,2834
122266,1000
122380,3585
122394,7371
122514,7841
122515,6022
122519,5990
122536,7371
122841,7370
122902,7373
122915,1221
122916,2836
123415,4832
123455,1040
123998,6159
124036,7372
124038,7372
124042,6311
124046,6798
124434,6211
124617,4924
125014,3663
125234,6022
125240,7900
125580,6021
125595,7389
125601,7812
125604,3620
125794,8734
125975,7389
126020,7372
126136,4841
126296,4700
126318,3577
126417,3674
126423,3829
126474,7500
126554,3826
126555,4813
126718,7389
126721,3812
127094,5960
127377,6200
127439,6411
128121,6794
128978,2650
129441,3845
129466,2836
129472,6311
129823,4832
130618,1382
132738,1090
132740,3674
133288,3674
133289,6311
133366,3842
133367,2844
133468,2834
133504,3841
133726,3674
133764,6022
133766,7370
133767,5400
133768,6311
133868,2834
133869,7372
133871,2836
133885,2836
134305,1040
134932,3674
135044,7372
135145,1040
135484,4813
135788,7370
135965,7373
135990,4911
136186,2834
136265,6021
136648,3714
136684,4911
136725,3842
136804,3826
136884,2834
137024,1389
137310,3674
137432,5130
137573,3089
137602,3559
137642,2834
137943,4833
137944,6029
138122,2834
138126,2834
138205,3826
138341,2836
138483,3826
138608,2834
138707,3842
138743,6798
138861,7011
139025,6021
139227,1040
139662,3661
139665,7320
139804,3672
140023,3841
140033,4911
140042,2835
140044,2834
140073,3845
140363,1040
140541,3100
140565,6022
140568,2834
140760,2870
140902,4812
140982,2810
140983,6035
140988,7389
141001,4731
141099,3690
141178,3669
141197,2834
141277,8071
141359,7389
141363,4610
141384,3842
141460,2836
141469,3826
141496,2834
141641,1400
141720,4610
141846,2834
141913,7389
142088,6021
142230,4610
142248,4813
142260,3533
142337,1311
142460,1221
142546,3730
142811,3533
142814,3674
142953,2000
142956,3571
143153,6021
143356,6311
143403,4924
143526,3841
143640,4610
143770,3841
143909,2836
143912,3480
143974,6141
144066,3728
144122,6022
144183,1400
144382,2834
144396,7363
144436,3845
144437,7372
144520,7363
144559,3842
144640,5500
144848,4931
144887,2834
144998,4700
145041,5940
145042,8741
145046,6324
145049,5734
145308,7200
145347,4931
145552,6324
145701,6321
145977,5531
146017,3640
146140,6512
146156,2835
146354,6021
146500,8051
146607,6035
146616,2834
146648,3845
146738,7374
147175,2111
147242,7373
147303,5810
147305,4512
147312,6035
